company_id,date,txn_type,amount,direction,description
MSME_101,2025-12-10,UPI_COLLECTION,824.37,CREDIT,Customer Payment via QR
MSME_101,2025-12-10,UPI_COLLECTION,350.67,CREDIT,Customer Payment via QR
MSME_101,2025-12-10,UPI_COLLECTION,701.96,CREDIT,Customer Payment via QR
MSME_101,2025-12-10,UPI_COLLECTION,766.06,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,636.52,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,708.37,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,970.89,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,662.2,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,582.51,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,772.18,CREDIT,Customer Payment via QR
MSME_101,2025-12-12,UPI_COLLECTION,755.74,CREDIT,Customer Payment via QR
MSME_101,2025-12-12,UPI_COLLECTION,1080.08,CREDIT,Customer Payment via QR
MSME_101,2025-12-12,UPI_COLLECTION,887.28,CREDIT,Customer Payment via QR
MSME_101,2025-12-12,UPI_COLLECTION,1304.91,CREDIT,Customer Payment via QR
MSME_101,2025-12-12,UPI_COLLECTION,539.49,CREDIT,Customer Payment via QR
MSME_101,2025-12-12,UPI_COLLECTION,656.44,CREDIT,Customer Payment via QR
MSME_101,2025-12-12,UPI_COLLECTION,856.38,CREDIT,Customer Payment via QR
MSME_101,2025-12-13,UPI_COLLECTION,422.94,CREDIT,Customer Payment via QR
MSME_101,2025-12-13,UPI_COLLECTION,628.35,CREDIT,Customer Payment via QR
MSME_101,2025-12-14,UPI_COLLECTION,907.99,CREDIT,Customer Payment via QR
MSME_101,2025-12-14,UPI_COLLECTION,581.41,CREDIT,Customer Payment via QR
MSME_101,2025-12-14,UPI_COLLECTION,952.22,CREDIT,Customer Payment via QR
MSME_101,2025-12-14,UPI_COLLECTION,701.18,CREDIT,Customer Payment via QR
MSME_101,2025-12-15,UPI_COLLECTION,1213.56,CREDIT,Customer Payment via QR
MSME_101,2025-12-15,UPI_COLLECTION,818.55,CREDIT,Customer Payment via QR
MSME_101,2025-12-15,UPI_COLLECTION,1101.76,CREDIT,Customer Payment via QR
MSME_101,2025-12-15,UPI_COLLECTION,851.33,CREDIT,Customer Payment via QR
MSME_101,2025-12-15,UPI_COLLECTION,891.11,CREDIT,Customer Payment via QR
MSME_101,2025-12-15,UPI_COLLECTION,825.41,CREDIT,Customer Payment via QR
MSME_101,2025-12-16,UPI_COLLECTION,795.84,CREDIT,Customer Payment via QR
MSME_101,2025-12-16,UPI_COLLECTION,984.85,CREDIT,Customer Payment via QR
MSME_101,2025-12-16,UPI_COLLECTION,496.59,CREDIT,Customer Payment via QR
MSME_101,2025-12-16,UPI_COLLECTION,885.45,CREDIT,Customer Payment via QR
MSME_101,2025-12-16,UPI_COLLECTION,410.05,CREDIT,Customer Payment via QR
MSME_101,2025-12-17,UPI_COLLECTION,412.61,CREDIT,Customer Payment via QR
MSME_101,2025-12-17,UPI_COLLECTION,324.1,CREDIT,Customer Payment via QR
MSME_101,2025-12-17,UPI_COLLECTION,972.57,CREDIT,Customer Payment via QR
MSME_101,2025-12-18,UPI_COLLECTION,650.08,CREDIT,Customer Payment via QR
MSME_101,2025-12-18,UPI_COLLECTION,613.24,CREDIT,Customer Payment via QR
MSME_101,2025-12-18,UPI_COLLECTION,1099.34,CREDIT,Customer Payment via QR
MSME_101,2025-12-19,UPI_COLLECTION,870.02,CREDIT,Customer Payment via QR
MSME_101,2025-12-19,UPI_COLLECTION,759.48,CREDIT,Customer Payment via QR
MSME_101,2025-12-19,UPI_COLLECTION,849.58,CREDIT,Customer Payment via QR
MSME_101,2025-12-19,UPI_COLLECTION,1031.41,CREDIT,Customer Payment via QR
MSME_101,2025-12-20,UPI_COLLECTION,342.1,CREDIT,Customer Payment via QR
MSME_101,2025-12-20,UPI_COLLECTION,1050.51,CREDIT,Customer Payment via QR
MSME_101,2025-12-20,UPI_COLLECTION,912.13,CREDIT,Customer Payment via QR
MSME_101,2025-12-20,UPI_COLLECTION,832.54,CREDIT,Customer Payment via QR
MSME_101,2025-12-20,UPI_COLLECTION,829.67,CREDIT,Customer Payment via QR
MSME_101,2025-12-21,UPI_COLLECTION,487.54,CREDIT,Customer Payment via QR
MSME_101,2025-12-21,UPI_COLLECTION,1022.93,CREDIT,Customer Payment via QR
MSME_101,2025-12-21,UPI_COLLECTION,464.78,CREDIT,Customer Payment via QR
MSME_101,2025-12-21,UPI_COLLECTION,839.66,CREDIT,Customer Payment via QR
MSME_101,2025-12-22,UPI_COLLECTION,641.7,CREDIT,Customer Payment via QR
MSME_101,2025-12-22,UPI_COLLECTION,920.56,CREDIT,Customer Payment via QR
MSME_101,2025-12-22,UPI_COLLECTION,741.03,CREDIT,Customer Payment via QR
MSME_101,2025-12-22,UPI_COLLECTION,873.24,CREDIT,Customer Payment via QR
MSME_101,2025-12-22,UPI_COLLECTION,788.42,CREDIT,Customer Payment via QR
MSME_101,2025-12-22,UPI_COLLECTION,858.01,CREDIT,Customer Payment via QR
MSME_101,2025-12-22,UPI_COLLECTION,660.65,CREDIT,Customer Payment via QR
MSME_101,2025-12-22,UPI_COLLECTION,840.54,CREDIT,Customer Payment via QR
MSME_101,2025-12-23,UPI_COLLECTION,820.53,CREDIT,Customer Payment via QR
MSME_101,2025-12-23,UPI_COLLECTION,1128.13,CREDIT,Customer Payment via QR
MSME_101,2025-12-23,UPI_COLLECTION,580.68,CREDIT,Customer Payment via QR
MSME_101,2025-12-23,UPI_COLLECTION,1035.23,CREDIT,Customer Payment via QR
MSME_101,2025-12-23,UPI_COLLECTION,1044.58,CREDIT,Customer Payment via QR
MSME_101,2025-12-23,UPI_COLLECTION,676.41,CREDIT,Customer Payment via QR
MSME_101,2025-12-23,UPI_COLLECTION,728.53,CREDIT,Customer Payment via QR
MSME_101,2025-12-23,UPI_COLLECTION,1114.35,CREDIT,Customer Payment via QR
MSME_101,2025-12-23,UPI_COLLECTION,479.24,CREDIT,Customer Payment via QR
MSME_101,2025-12-24,UPI_COLLECTION,890.07,CREDIT,Customer Payment via QR
MSME_101,2025-12-24,UPI_COLLECTION,634.32,CREDIT,Customer Payment via QR
MSME_101,2025-12-24,UPI_COLLECTION,703.91,CREDIT,Customer Payment via QR
MSME_101,2025-12-25,UPI_COLLECTION,548.04,CREDIT,Customer Payment via QR
MSME_101,2025-12-25,UPI_COLLECTION,776.27,CREDIT,Customer Payment via QR
MSME_101,2025-12-25,UPI_COLLECTION,750.63,CREDIT,Customer Payment via QR
MSME_101,2025-12-26,UPI_COLLECTION,856.09,CREDIT,Customer Payment via QR
MSME_101,2025-12-26,UPI_COLLECTION,715.31,CREDIT,Customer Payment via QR
MSME_101,2025-12-27,UPI_COLLECTION,801.03,CREDIT,Customer Payment via QR
MSME_101,2025-12-28,UPI_COLLECTION,696.99,CREDIT,Customer Payment via QR
MSME_101,2025-12-28,UPI_COLLECTION,1053.71,CREDIT,Customer Payment via QR
MSME_101,2025-12-28,UPI_COLLECTION,750.38,CREDIT,Customer Payment via QR
MSME_101,2025-12-28,UPI_COLLECTION,532.98,CREDIT,Customer Payment via QR
MSME_101,2025-12-28,UPI_COLLECTION,906.99,CREDIT,Customer Payment via QR
MSME_101,2025-12-28,UPI_COLLECTION,996.09,CREDIT,Customer Payment via QR
MSME_101,2025-12-28,UPI_COLLECTION,862.44,CREDIT,Customer Payment via QR
MSME_101,2025-12-28,UPI_COLLECTION,1163.14,CREDIT,Customer Payment via QR
MSME_101,2025-12-28,UPI_COLLECTION,748.37,CREDIT,Customer Payment via QR
MSME_101,2025-12-29,UPI_COLLECTION,642.37,CREDIT,Customer Payment via QR
MSME_101,2025-12-29,UPI_COLLECTION,1039.56,CREDIT,Customer Payment via QR
