company_id,date,txn_type,amount,direction,description
MSME_101,2025-12-09,UPI_COLLECTION,1251.55,CREDIT,Customer Payment via QR
MSME_101,2025-12-09,UPI_COLLECTION,676.87,CREDIT,Customer Payment via QR
MSME_101,2025-12-09,UPI_COLLECTION,748.97,CREDIT,Customer Payment via QR
MSME_101,2025-12-09,UPI_COLLECTION,799.27,CREDIT,Customer Payment via QR
MSME_101,2025-12-09,UPI_COLLECTION,653.52,CREDIT,Customer Payment via QR
MSME_101,2025-12-10,UPI_COLLECTION,441.83,CREDIT,Customer Payment via QR
MSME_101,2025-12-10,UPI_COLLECTION,665.62,CREDIT,Customer Payment via QR
MSME_101,2025-12-10,UPI_COLLECTION,608.86,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,916.78,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,876.1,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,780.78,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,1041.36,CREDIT,Customer Payment via QR
MSME_101,2025-12-11,UPI_COLLECTION,1047.31,CREDIT,Customer Payment via QR
MSME_101,2025-12-13,UPI_COLLECTION,994.7,CREDIT,Customer Payment via QR
MSME_101,2025-12-13,UPI_COLLECTION,869.59,CREDIT,Customer Payment via QR
MSME_101,2025-12-13,UPI_COLLECTION,954.8,CREDIT,Customer Payment via QR
MSME_101,2025-12-13,UPI_COLLECTION,879.06,CREDIT,Customer Payment via QR
MSME_101,2025-12-13,UPI_COLLECTION,831.5,CREDIT,Customer Payment via QR
MSME_101,2025-12-14,UPI_COLLECTION,721.8,CREDIT,Customer Payment via QR
MSME_101,2025-12-14,UPI_COLLECTION,1039.81,CREDIT,Customer Payment via QR
MSME_101,2025-12-14,UPI_COLLECTION,853.99,CREDIT,Customer Payment via QR
MSME_101,2025-12-14,UPI_COLLECTION,561.34,CREDIT,Customer Payment via QR
MSME_101,2025-12-14,UPI_COLLECTION,581.62,CREDIT,Customer Payment via QR
